Average Chunks "Loop 1 Average (2)" "Loop 2 Average (s)"
1 1 0.0350746 0.2760814
1 2 0.0347826 0.1998782
1 4 0.034914 0.1333006
1 8 0.0357768 0.1426556
1 16 0.0377656 0.1807128
1 32 0.041536 0.3031588
1 64 0.0490744 0.3566518
2 1 0.03548 0.1075684
2 2 0.0349412 0.1073962
2 4 0.0343706 0.1073186
2 8 0.034224 0.107251
2 16 0.0342566 0.1431128
2 32 0.034294 0.2709058
2 64 0.034178 0.3399138
3 1 0.0342316 0.3301792
3 2 0.0341978 0.3307266
3 4 0.0341418 0.3327754
3 8 0.0341748 0.3300964
3 16 0.034242 0.3320772
3 32 0.0349572 0.3301148
3 64 0.0341512 0.3392574
